Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2023_q4,,Cystoscopy,,Total,Provincial,2023,4,27,151,36,198
2022_q4,,Kidney Stone Surgery,,Zone 1,Valley Regional,2022,4,,,43,89
2023_q1,,Back Surgery  (Pediatric),,Total,Provincial,2023,1,,,379,480
2022_q4,,Carotid Endarterectomy,,Total,Provincial,2022,4,,,13,116
12month_rolling,General Surgery,Breast Cancer Surgery,"Murphy, Christopher",,,,,7,33,29,50
2023_q4,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 1,Valley Regional,2023,4,45,234,,
2023_q2,,Colorectal Cancer Surgery,,Zone 4,QE2,2023,2,25,100,30,65
2024_q3,,Colorectal Cancer Surgery,,Zone 1,South Shore Regional,2024,3,15,37,29,57
2022_q4,,Knee Scope,,Zone 4,QE2,2022,4,125,269,146,288
12month_rolling,Ophthalmology,All,"Archibald, Curtis",,,,,27,139,20,91
2023_q1,,Knee Scope with ACL Repair,,Zone 4,QE2,2023,1,88,181,152,198
2024_q2,,Male Reproductive System Surgery,,Zone 3,Glace Bay,2024,2,83,196,,
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Parr, Grace",,,,,85,266,47,117
2024_q3,,Foot - Arthrodesis,,Zone 3,Cape Breton Regional,2024,3,,,73,114
12month_rolling,Obstetrics/Gynaecology,All,"Willows, Karla Astrid",,,,,13,28,43,99
2023_q3,,Shoulder Arthroscopy,,Zone 2,Aberdeen Hospital,2023,3,85,386,67,155
2024_q3,,Laryngology and Vocal Cord Surgery,,Zone 4,QE2,2024,3,32,74,79,618
2024_q3,,Hysteroscopy,,IWK,IWK,2024,3,49,383,77,147
2023_q4,,Shoulder Surgery,,Zone 1,Valley Regional,2023,4,304,762,189,458
2022_q4,,Brain Surgery  (Pediatric),,Total,Provincial,2022,4,,,79,136
2024_q1,,Male Reproductive System Surgery,,Zone 1,Valley Regional,2024,1,,,105,938
2024_q3,,Liver Surgery,,Total,Provincial,2024,3,14,35,23,49
12month_rolling,,Lymph Node Biopsy,,Zone 1,Yarmouth Regional,2024,3,8,36,21,56
12month_rolling,General Surgery,Bowel Resection - Open,"Johnson, Paul M",,,,,27,31,18,45
2024_q1,,Strabismus Surgery  (Adult),,Zone 4,QE2,2024,1,188,856,79,141
2024_q1,,Hernia Repair  (Adult),,Zone 1,South Shore Regional,2024,1,29,71,58,118
12month_rolling,,Hernia Repair - Ventral,,Zone 2,Cumberland Regional,2024,3,58,103,,
12month_rolling,Oral Maxillofacial,All,"Ross, Ian W",,,,,145,230,57,198
3month_rolling,,Hip Replacement,,Zone 4,QE2,2024,3,161,266,57,1051
2024_q3,,Gastrointestinal Tract Surgery,,Zone 1,South Shore Regional,2024,3,20,199,29,69
2024_q3,,Vitreoretinal Diseases,,Total,Provincial,2024,3,34,185,27,104
12month_rolling,Thoracic Surgery,Lung Cancer Surgery,"Ednie, Alexander",,,,,31,88,41,74
2023_q4,,Hernia Repair  (Adult),,Zone 4,Dartmouth General,2023,4,159,323,112,300
2022_q3,,Prostate Surgery,,Zone 4,Dartmouth General,2022,3,18,95,34,191
2023_q1,,Pilonidal Cyst Surgery,,Total,Provincial,2023,1,60,321,72,228
2024_q2,,Maxillofacial Deformity Surgery,,Total,Provincial,2024,2,297,541,214,452
12month_rolling,Orthopaedic,Carpal Tunnel Surgery,"Howatt, Jonathan",,,,,37,414,95,373
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Pinkham, Jessica",,,,,160,330,78,88
12month_rolling,General Surgery,Bowel Resection - Open,"Joy, Edward",,,,,21,71,19,86
12month_rolling,,Esophagoscopy,,Total,Provincial,2024,3,37,62,30,143
2024_q2,,Hernia Repair - Laparoscopic Umbilical,,Total,Provincial,2024,2,161,571,62,188
12month_rolling,Orthopaedic,All,"Coady, Catherine M",,,,,73,225,114,305
12month_rolling,Ophthalmology,Cataract Surgery,"Rafuse, Paul E",,,,,56,126,81,190
2023_q1,,Knee Scope,,Zone 1,Yarmouth Regional,2023,1,,,117,253
2022_q3,,Knee Scope,,Zone 4,Hants Community Hospital,2022,3,49,233,71,198
12month_rolling,Orthopaedic,Hip Replacement,"El-Tahan, Tahmir H.",,,,,291,291,183,394
2022_q3,,Breast Cancer Surgery,,Zone 3,Cape Breton Regional,2022,3,13,29,19,31
12month_rolling,Orthopaedic,Shoulder Arthroplasty,"Hewins, Edward",,,,,217,641,216,357
12month_rolling,Thoracic Surgery,Lung Cancer Surgery,"Wallace, Alison",,,,,35,69,30,70
2023_q1,,Shoulder Arthroplasty,,Total,Provincial,2023,1,111,287,269,704
2022_q4,,Hysterectomy  (Cancer Not Suspected),,Total,Provincial,2022,4,105,466,135,401
12month_rolling,,Knee Replacement - Partial,,Zone 4,Dartmouth General,2024,3,370,696,255,399
2023_q3,,Knee Replacement,,Zone 3,Cape Breton Regional,2023,3,145,243,126,261
2024_q1,,Esophagectomy / Esophageal Surgery,,Total,Provincial,2024,1,23,47,34,110
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Walsh, Mark J",,,,,59,77,138,427
2023_q2,,Prostate Surgery,,Total,Provincial,2023,2,46,124,56,369
12month_rolling,General Surgery,Hernia Repair  (Adult),"MacDonald, Blair",,,,,41,111,55,98
12month_rolling,General Surgery,Bowel Resection - Open,"Lapierre, Stephanie",,,,,14,18,19,19
12month_rolling,General Surgery,Bowel Resection - Laparoscopic,"Hossain, Farisa",,,,,27,92,25,48
2024_q3,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Valley Regional,2024,3,116,506,97,138
2023_q4,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Total,Provincial,2023,4,92,255,122,420
2022_q3,,Vitreoretinal Diseases,,Zone 4,QE2,2022,3,27,100,28,125
2024_q2,,Septoplasty,,Zone 4,Hants Community Hospital,2024,2,87,359,66,191
2023_q4,,Cystoscopy,,Zone 4,QE2,2023,4,49,209,51,188
2022_q4,,Prostate Surgery,,Zone 2,Colchester East Hants Health Centre,2022,4,,,305,638
12month_rolling,General Surgery,Breast Cancer Surgery,"Armstrong, Casey",,,,,13,55,22,51
2022_q3,,Hernia Repair  (Adult),,Zone 2,Cumberland Regional,2022,3,37,259,88,151
2024_q2,,Male Reproductive System Surgery,,Zone 3,Cape Breton Regional,2024,2,17,188,36,165
2023_q3,,Hip Replacement,,Total,Provincial,2023,3,133,425,188,591
2022_q4,,Knee Replacement - Partial,,Zone 4,QE2,2022,4,208,379,309,415
2022_q3,,Colorectal Cancer Surgery,,Zone 4,Dartmouth General,2022,3,23,75,20,76
12month_rolling,Urology,Kidney Stone Surgery,"Cox, Ashley",,,,,55,55,142,215
2024_q2,,Prostate Surgery - Laparoscopic,,Zone 4,QE2,2024,2,20,51,174,239
2023_q1,,Lacrimal Duct Probing,,Total,Provincial,2023,1,126,232,251,461
12month_rolling,,Male Reproductive System Surgery,,Zone 3,St. Martha's Regional,2024,3,33,36,328,416
2023_q3,,Ear Tubes  (Pediatric),,Zone 3,Cape Breton Regional,2023,3,62,75,185,198
2023_q4,,Knee Replacement,,Total,Provincial,2023,4,227,659,222,633
2022_q4,,Lung Surgery,,Total,Provincial,2022,4,22,66,27,61
12month_rolling,Urology,Prostate Surgery,"Butler, Trevor",,,,,,,58,143
12month_rolling,Urology,Bladder Cancer Surgery,"Bailly, Greg G",,,,,97,126,25,36
12month_rolling,General Surgery,Breast Cancer Surgery,"Kelly, Ryan Patrick",,,,,20,58,30,81
2023_q3,,Thyroid or Parathyroid Surgery,,Zone 2,Cumberland Regional,2023,3,60,137,40,64
2023_q4,,Hernia Repair  (Pediatric),,Total,Provincial,2023,4,,,102,303
12month_rolling,,Tendon / Ligament Repair,,Zone 4,Dartmouth General,2024,3,35,702,32,111
12month_rolling,General Surgery,Hernia Repair  (Adult),"Stewart, Riley",,,,,103,358,99,441
12month_rolling,General Surgery,Bowel Resection - Laparoscopic,"Lapierre, Stephanie",,,,,19,51,23,46
2023_q2,,Hernia Repair - Inguinal/Femoral,,Zone 3,Cape Breton Regional,2023,2,96,272,121,406
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Okuboyejo, Fazil",,,,,57,128,43,75
3month_rolling,,Ear Tubes  (Pediatric),,Zone 1,Yarmouth Regional,2024,3,92,218,49,75
2023_q4,,Lymph Node Biopsy,,Total,Provincial,2023,4,10,36,23,62
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Inguinal Femoral,"Stewart, Riley",,,,,197,453,78,148
2024_q1,,Thoroscopy / Pleuroscopy,,Total,Provincial,2024,1,8,14,27,146
12month_rolling,General Surgery,Hernia Repair  (Adult),"Murphy, Christopher",,,,,24,86,66,195
2023_q3,,Shoulder Arthroscopy,,Zone 1,Valley Regional,2023,3,78,248,166,467
12month_rolling,General Surgery,Hernia Repair  (Adult),"Dzierzanowski, Martin",,,,,36,52,62,112
2022_q3,,Pacemaker Insertion,,Zone 2,Aberdeen Hospital,2022,3,,,39,57
2023_q4,,Wound Management,,Total,Provincial,2023,4,,,7,27
2023_q2,,Foot - Arthrodesis,,Total,Provincial,2023,2,349,923,100,366
12month_rolling,Otolaryngology (ENT),Laryngology and Vocal Cord Surgery,"Kujath, Magdalena",,,,,11,26,48,81
2023_q2,,Cornea and External Disease,,Zone 4,QE2,2023,2,85,263,102,409
2023_q3,,Hernia Repair - Umbilical,,Zone 4,Dartmouth General,2023,3,215,769,168,757
2023_q3,,Kidney Removal,,Zone 1,Valley Regional,2023,3,,,48,106
12month_rolling,,Tendon / Ligament Repair,,Zone 3,Inverness Consolidated Memorial,2024,3,,,122,266
2023_q2,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Total,Provincial,2023,2,61,399,114,345
2024_q2,,Bowel Resection,,Zone 1,Valley Regional,2024,2,19,69,39,81
2022_q3,,Brain Surgery  (Pediatric),,IWK,IWK,2022,3,,,71,92
2023_q3,,Cataract Surgery,,Zone 1,Yarmouth Regional,2023,3,109,212,161,249
2022_q3,,Gastric Surgery,,Zone 4,QE2,2022,3,20,54,29,36
12month_rolling,,Oculo Plastic Surgery,,Total,Provincial,2024,3,62,350,81,274
12month_rolling,Ophthalmology,Cataract Surgery,"Kapasi, Mustafa",,,,,80,147,55,104
12month_rolling,Dental,Dental Extractions and Restorations  (Pediatric),"Munro, Monica",,,,,121,277,92,246
2024_q3,,Carpal Tunnel Surgery,,Zone 2,Aberdeen Hospital,2024,3,83,116,26,48
2022_q4,,Cystoscopy,,Zone 2,Colchester East Hants Health Centre,2022,4,19,145,58,305
2023_q4,,Ear Tubes  (Adult),,Total,Provincial,2023,4,34,409,89,186
2024_q3,,Gallbladder Surgery,,Zone 3,Cape Breton Regional,2024,3,301,567,87,528
12month_rolling,General Surgery,Bowel Resection - Laparoscopic,"Lamey, Alicia",,,,,14,27,20,35
12month_rolling,Urology,Male Reproductive System Surgery,"Keefe, Daniel",,,,,99,471,183,592
2023_q4,,Bladder Cancer Surgery,,Zone 3,Cape Breton Regional,2023,4,16,108,42,187
3month_rolling,,Cataract Surgery,,Zone 2,Colchester East Hants Health Centre,2024,3,141,294,64,104
12month_rolling,Oral Maxillofacial,Dental Extractions and Restorations  (Adult),"Bourque, Susan",,,,,84,270,82,284
3month_rolling,General Surgery,,,,,2024,3,,,49,219
12month_rolling,,Tear Duct Surgery,,Total,Provincial,2024,3,41,273,49,211
2022_q4,,Gastrointestinal Tract Surgery - Laparoscopic,,Total,Provincial,2022,4,22,149,29,192
12month_rolling,,Gastrointestinal Tract Surgery,,Zone 2,Cumberland Regional,2024,3,8,86,39,100
2024_q3,,Bowel Resection - Laparoscopic,,Zone 3,Cape Breton Regional,2024,3,18,38,20,91
2024_q3,,Hernia Repair  (Adult),,Zone 1,Valley Regional,2024,3,73,436,75,156
12month_rolling,Cardiac Surgery,Sternotomy / Thoracotomy,"Horne, David",,,,,5,5,17,85
3month_rolling,,Cataract Surgery,,Zone 1,Yarmouth Regional,2024,3,351,498,103,121
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Tynski, Gregory",,,,,67,111,102,163
2023_q3,,Bone / Cartilage Graft,,Total,Provincial,2023,3,,,227,753
2022_q3,,Bowel Resection,,Zone 4,QE2,2022,3,22,146,28,145
3month_rolling,,Pelvic Floor Repair,,IWK,IWK,2024,3,,,248,371
12month_rolling,,Orthopaedic Trauma,,Total,Provincial,2024,3,29,350,32,156
12month_rolling,,Insertion Vascular Access Catheter,,IWK,IWK,2024,3,15,151,28,203
2024_q2,,Chest Scopes  (Adult),,Total,Provincial,2024,2,4,22,13,23
2022_q3,,Hernia Repair - Umbilical,,Zone 1,Valley Regional,2022,3,,,169,407
12month_rolling,General Surgery,Hernia Repair  (Adult),"Booth, John",,,,,40,96,142,324
2023_q2,,Dental Extractions and Restorations  (Pediatric),,IWK,IWK,2023,2,105,619,307,759
2024_q2,,Craniotomy or Craniectomy,,Total,Provincial,2024,2,,,104,294
2022_q4,,Hernia Repair  (Adult),,Zone 1,Yarmouth Regional,2022,4,15,123,38,112
2024_q2,,Prostate Surgery,,Total,Provincial,2024,2,50,160,75,391
2023_q4,,Male Circumcision  (Pediatric),,IWK,IWK,2023,4,,,157,1106
2022_q4,,Hysterectomy  (Cancer Suspected or Proven),,Zone 4,QE2,2022,4,14,22,65,93
12month_rolling,Obstetrics/Gynaecology,Cystoscopy,"Pierce, Marianne",,,,,97,97,113,147
3month_rolling,,Kidney Removal,,Total,Provincial,2024,3,14,39,54,163
12month_rolling,General Surgery,All,"McWilliams, Colin",,,,,32,120,31,66
2023_q3,,Thyroid or Parathyroid Surgery,,Zone 4,Dartmouth General,2023,3,38,67,71,413
2024_q3,,Hernia Repair - Inguinal/Femoral,,Zone 1,South Shore Regional,2024,3,39,63,47,109
2023_q3,,Vitreoretinal Diseases,,Zone 4,QE2,2023,3,31,146,23,80
2024_q3,,Peritoneal Lavage or Catherization,,Total,Provincial,2024,3,,,11,17
12month_rolling,,Gastrointestinal Tract Surgery,,Zone 3,Glace Bay,2024,3,,,45,81
12month_rolling,General Surgery,Hernia Repair  (Adult),"Kelly, Ryan Patrick",,,,,230,745,312,646
2023_q4,,Hysterectomy  (Cancer Suspected or Proven),,Total,Provincial,2023,4,17,91,43,70
2022_q3,,Pelvic Floor Repair,,IWK,IWK,2022,3,255,646,70,191
2023_q1,,Colorectal Cancer Surgery,,Zone 4,QE2,2023,1,27,81,34,83
2022_q3,,Shoulder Surgery,,Zone 1,Valley Regional,2022,3,,,684,838
2023_q3,,Spinal Cord Stimulation Surgery,,Zone 4,QE2,2023,3,,,117,134
2024_q3,,Video-Assisted Thoracic Surgery,,Zone 4,QE2,2024,3,28,105,42,91
2024_q3,,Hip Replacement,,Total,Provincial,2024,3,168,575,129,498
3month_rolling,,Hernia Repair  (Adult),,Zone 4,QE2,2024,3,76,190,95,320
12month_rolling,,Hernia Repair - Ventral,,Total,Provincial,2024,3,54,288,86,365
12month_rolling,Obstetrics/Gynaecology,All,"Stairs, Jocelyn",,,,,116,390,97,297
2023_q3,,Kidney Stone Surgery,,Zone 1,Valley Regional,2023,3,,,40,98
2023_q3,,Lymph Node Biopsy,,Zone 4,QE2,2023,3,21,34,,
12month_rolling,Plastic Surgery,,,,,2024,3,,,54,242
2023_q1,,Shoulder Arthroscopy,,Zone 4,QE2,2023,1,118,364,263,536
2023_q1,,Foot - Arthrodesis,,Zone 3,Cape Breton Regional,2023,1,,,73,130
2023_q2,,Vitreoretinal Diseases,,Total,Provincial,2023,2,35,236,15,98
2024_q3,,Shoulder Arthroscopy,,Total,Provincial,2024,3,98,225,104,316
2023_q1,,Laryngology and Vocal Cord Surgery,,Zone 4,QE2,2023,1,23,120,50,142
12month_rolling,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 2,Colchester East Hants Health Centre,2024,3,138,223,127,208
12month_rolling,Orthopaedic,Knee Scope,"Logan, Karl John",,,,,43,48,112,272
12month_rolling,Vascular Surgery,Endarterectomy,"Jessula, Samuel",,,,,10,22,21,60
12month_rolling,General Surgery,Lymph Node Biopsy,"Helyer, Lucy K",,,,,8,36,12,21
12month_rolling,General Surgery,Breast Cancer Surgery,"Sahi, Chakshu",,,,,13,23,25,39
2024_q3,,Hernia Repair  (Adult),,Zone 4,Hants Community Hospital,2024,3,258,580,33,172
2022_q3,,Shoulder Arthroscopy,,Zone 4,QE2,2022,3,130,292,182,352
2023_q4,,Gastrointestinal Tract Surgery,,Zone 4,QE2,2023,4,32,111,51,548
2023_q3,,Hernia Repair - Inguinal/Femoral,,IWK,IWK,2023,3,,,103,343
2022_q4,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2022,4,8,22,20,41
2024_q2,,Cornea and External Disease,,Total,Provincial,2024,2,83,169,159,432
2022_q3,,Septoplasty,,Zone 4,Hants Community Hospital,2022,3,169,299,99,157
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Helyer, Lucy K",,,,,14,33,17,40
2022_q4,,Hysteroscopy,,Zone 3,Cape Breton Regional,2022,4,,,69,191
2022_q4,,Thyroid or Parathyroid Surgery,,Zone 3,Cape Breton Regional,2022,4,59,76,59,146
12month_rolling,General Surgery,All,"Blackmore, Christopher",,,,,71,247,73,235
12month_rolling,Plastic Surgery,Cleft Lip/Palate  (Pediatric),"Bezuhly, Michael",,,,,27,135,137,354
12month_rolling,General Surgery,Bowel Resection - Laparoscopic,"Poushay, Heather",,,,,16,38,15,43
12month_rolling,Urology,All,"Massaro, Peter",,,,,29,376,70,393
2023_q3,,Prostate Surgery,,Zone 1,Yarmouth Regional,2023,3,,,111,209
2024_q1,,Male Reproductive System Surgery,,Zone 4,Dartmouth General,2024,1,67,286,125,419
2022_q3,,Prostate Surgery - Laparoscopic,,Zone 4,QE2,2022,3,26,188,182,242
2022_q3,,Cataract Surgery,,Zone 4,QE2,2022,3,105,248,110,247
2022_q4,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Total,Provincial,2022,4,49,136,78,176
2023_q4,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2023,4,38,173,67,340
12month_rolling,General Surgery,Bowel Resection,"Wasserman, Lukas",,,,,28,238,37,57
3month_rolling,,Functional Endoscopic Sinus Surgery (FESS),,Total,Provincial,2024,3,37,209,92,189
2022_q3,,Carpal Tunnel Surgery,,Zone 3,St. Martha's Regional,2022,3,22,737,,
12month_rolling,,Tendon / Ligament Repair,,Zone 3,St. Martha's Regional,2024,3,33,86,60,134
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Stone, Heather",,,,,77,418,85,140
2022_q4,,Cardiac Valve Replacement,,Zone 4,QE2,2022,4,,,35,113
2024_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 3,St. Martha's Regional,2024,2,127,212,87,206
12month_rolling,Orthopaedic,Hip Replacement,"Prasad, Bangaradka Radhakrishna",,,,,106,198,89,138
2024_q2,,Knee Replacement,,Zone 3,Cape Breton Regional,2024,2,121,282,97,188
2023_q4,,Gastrointestinal Tract Surgery,,IWK,IWK,2023,4,,,43,121
3month_rolling,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven),,Total,Provincial,2024,3,21,42,46,92
2022_q4,,Pacemaker Insertion,,Total,Provincial,2022,4,10,22,15,36
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Lamey, Alicia",,,,,24,53,82,200
2023_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Valley Regional,2023,4,238,543,249,717
2023_q2,,Hand / Upper Extremity,,Zone 4,QE2,2023,2,110,273,77,453
2022_q3,,Knee Replacement - Partial,,Zone 4,QE2,2022,3,265,317,,
12month_rolling,Urology,Male Circumcision  (Adult),"Himmelman, Jeffrey George",,,,,,,358,1006
12month_rolling,Orthopaedic,Knee Replacement Revision,"Leighton, Jennifer Laura",,,,,1,1,57,162
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Neumann, Katerina",,,,,38,234,25,77
12month_rolling,Ophthalmology,Cataract Surgery,"Tan, Alexander",,,,,149,247,28,98
12month_rolling,General Surgery,Gallbladder Surgery,"Booth, John",,,,,28,62,117,282
2023_q2,,Carpal Tunnel Surgery,,Zone 1,South Shore Regional,2023,2,39,185,159,350
2024_q3,,Cervical Spine (Neck) Surgery,,Total,Provincial,2024,3,105,836,84,225
2022_q4,,Spinal Cord Stimulation Surgery,,Total,Provincial,2022,4,,,181,289
12month_rolling,,Adrenal Surgery,,Total,Provincial,2024,3,13,107,107,189
2022_q3,,Hysterectomy  (Cancer Not Suspected),,IWK,IWK,2022,3,174,634,139,290
12month_rolling,Ophthalmology,Tear Duct Surgery,"Archibald, Curtis",,,,,35,136,14,73
12month_rolling,,Nerve or Brain Stimulation,,IWK,IWK,2024,3,,,80,123
2023_q3,,Temperomandibular Joint Surgery (TMJ),,Total,Provincial,2023,3,,,190,916
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Bal, Navpreet",,,,,74,182,141,162
12month_rolling,Otolaryngology (ENT),Surgery for Hearing or Balance Problems of the Ear,"Hong, Paul",,,,,91,243,113,194
2024_q1,,Dental Extractions and Restorations  (Pediatric),,Zone 1,South Shore Regional,2024,1,,,75,151
2023_q2,,Shoulder Arthroscopy,,Zone 1,South Shore Regional,2023,2,68,135,175,250
2024_q3,,Thyroid or Parathyroid Surgery,,Total,Provincial,2024,3,71,213,71,552
3month_rolling,,Male Circumcision  (Adult),,Zone 3,Cape Breton Regional,2024,3,,,85,153
12month_rolling,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,Glace Bay,2024,3,35,115,42,210
3month_rolling,,Hysterectomy  (Cancer Not Suspected),,Zone 3,St. Martha's Regional,2024,3,253,843,182,335
12month_rolling,Otolaryngology (ENT),All,"Taylor, Benjamin A",,,,,102,487,75,134
2024_q3,,Hernia Repair  (Pediatric),,Total,Provincial,2024,3,89,112,134,303
2023_q4,,Male Circumcision  (Pediatric),,Total,Provincial,2023,4,,,125,926
2023_q1,,Bowel Resection,,Zone 1,Valley Regional,2023,1,20,83,39,100
2023_q3,,Prostate Surgery,,Zone 3,Northside General,2023,3,41,163,33,54
2023_q3,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2023,3,79,260,94,307
2024_q3,,Vitreoretinal Diseases,,Zone 4,QE2,2024,3,34,182,27,104
2023_q2,,Kidney Removal,,Zone 1,Valley Regional,2023,2,,,39,64
12month_rolling,General Surgery,All,"Faryniuk, Andrea Marie",,,,,26,134,39,131
2024_q2,,Shoulder Arthroscopy,,Zone 1,Valley Regional,2024,2,169,280,182,319
12month_rolling,Urology,Prostate Surgery,"Paterson, Nicholas",,,,,31,59,77,139
12month_rolling,General Surgery,Bowel Resection,"Faryniuk, Andrea Marie",,,,,17,43,30,110
2022_q4,,Lymph Node Biopsy,,Total,Provincial,2022,4,16,29,16,63
12month_rolling,,Pacemaker Insertion,,Zone 1,South Shore Regional,2024,3,7,14,18,36
2024_q2,,Bladder Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2024,2,12,29,44,94
12month_rolling,Urology,Male Reproductive System Surgery,"McCarthy, John Paul",,,,,138,183,114,228
2023_q2,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,Cape Breton Regional,2023,2,27,64,,
2022_q4,,Hernia Repair - Inguinal/Femoral,,Zone 4,Dartmouth General,2022,4,144,258,145,391
2022_q3,,Hernia Repair - Umbilical,,Zone 2,Colchester East Hants Health Centre,2022,3,41,136,93,215
2023_q4,,Male Reproductive System Surgery,,Zone 2,Colchester East Hants Health Centre,2023,4,69,540,178,415
2022_q3,,Prostate Surgery,,Zone 2,Colchester East Hants Health Centre,2022,3,,,270,555
2023_q4,,Male Circumcision  (Adult),,Zone 1,Valley Regional,2023,4,,,182,292
2024_q2,,Bowel Resection - Laparoscopic,,Zone 4,Dartmouth General,2024,2,10,23,31,45
2024_q1,,Hernia Repair  (Adult),,Zone 2,Colchester East Hants Health Centre,2024,1,49,161,55,227
12month_rolling,Otolaryngology (ENT),Laryngology and Vocal Cord Surgery,"Brown, Timothy",,,,,56,250,226,861
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Milford, Karen",,,,,75,163,153,303
2024_q1,,Male Reproductive System Surgery,,Zone 3,Cape Breton Regional,2024,1,38,79,23,84
12month_rolling,Neurosurgery,Brain Surgery  (Adult),"Weise, Lutz",,,,,110,739,52,275
2023_q1,,Surgery for Hearing or Balance Problems of the Ear,,Total,Provincial,2023,1,49,154,50,389
2023_q2,,Hip Replacement,,Zone 2,Aberdeen Hospital,2023,2,206,323,83,473
2023_q3,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 4,QE2,2023,3,26,104,29,47
12month_rolling,General Surgery,Hernia Repair - Incisional,"Lefel, Oleg",,,,,15,62,87,137
2024_q1,,Hernia Repair  (Adult),,Zone 3,St. Martha's Regional,2024,1,24,128,225,293
2023_q3,,Cataract Surgery,,Zone 1,Soldiers Memorial,2023,3,63,119,106,232
2023_q3,,Ear Tubes  (Pediatric),,Total,Provincial,2023,3,94,172,92,156
2022_q3,,Prostate Surgery,,Total,Provincial,2022,3,35,152,63,360
12month_rolling,General Surgery,All,"King, Jenelle",,,,,22,73,41,153
2022_q3,,Craniotomy or Craniectomy,,Total,Provincial,2022,3,,,85,276
12month_rolling,Thoracic Surgery,All,"Ednie, Alexander",,,,,33,67,42,135
2023_q2,,Dental Extractions and Restorations  (Adult),,Zone 4,Dartmouth General,2023,2,,,76,96
2023_q3,,Breast Reconstruction,,Total,Provincial,2023,3,36,77,83,586
12month_rolling,General Surgery,Bowel Resection - Open,"Dzierzanowski, Martin",,,,,44,88,48,48
2023_q1,,Hernia Repair  (Adult),,Zone 2,Aberdeen Hospital,2023,1,92,392,75,196
2022_q3,,Cataract Surgery,,Zone 3,St. Martha's Regional,2022,3,154,415,74,110
2023_q4,,Strabismus Surgery  (Pediatric),,IWK,IWK,2023,4,167,349,190,293
2023_q4,,AV Fistula Creation/Closure,,Zone 4,QE2,2023,4,,,12,34
2022_q4,,Ear Tubes  (Adult),,Total,Provincial,2022,4,203,652,59,163
2022_q4,,Hip Replacement,,Total,Provincial,2022,4,165,399,184,651
2023_q1,,Chest Scopes  (Adult),,Total,Provincial,2023,1,8,21,22,34
12month_rolling,Otolaryngology (ENT),Septoplasty,"Clifton, Neil",,,,,162,244,57,138
2023_q1,,Hernia Repair - Inguinal/Femoral,,Zone 3,Cape Breton Regional,2023,1,181,310,191,641
12month_rolling,Dental,Dental Extractions and Restorations  (Pediatric),"Alrafidi, Mubarak",,,,,16,25,25,75
2022_q4,,Video-Assisted Thoracic Surgery,,Zone 4,QE2,2022,4,22,66,26,69
12month_rolling,,Cystoscopy,,IWK,IWK,2024,3,106,537,54,203
2024_q3,,Hysterectomy  (Cancer Not Suspected),,Zone 4,QE2,2024,3,28,31,41,55
2024_q1,,Knee Scope,,Zone 4,Dartmouth General,2024,1,74,422,68,267
12month_rolling,Thoracic Surgery,All,"Wallace, Alison",,,,,35,77,30,91
3month_rolling,,Bladder Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2024,3,35,139,32,53
2022_q3,,Male Circumcision  (Pediatric),,IWK,IWK,2022,3,,,130,440
2023_q1,,Hernia Repair  (Adult),,Zone 1,Valley Regional,2023,1,43,157,88,349
12month_rolling,Urology,Bladder Cancer Surgery,"Lehmann, Kyle",,,,,1,1,39,51
2024_q2,,Bladder Cancer Surgery,,Zone 4,Dartmouth General,2024,2,,,84,344
